ID,Sent1,Sent2,Score,Dataset,Domain
261,cause to be interested,attract; cause to be enamored.,2.5,STS2012-gold,surprise.OnWN
262,To remain emotionally or intellectually attached without necessary physical contact.,to remain emotionally or intellectually attached.,3.5,STS2012-gold,surprise.OnWN
263,The act of transporting goods commerically at rates cheaper than express rates.,transporting goods commercially at rates cheaper than express rates.,4.75,STS2012-gold,surprise.OnWN
264,(An occurance of) the preservation or management of natural resources.,the preservation and careful management of the environment and of natural resources.,4.5,STS2012-gold,surprise.OnWN
265,"remove the pod, husk or shell",fall out of the pod or husk.,4.0,STS2012-gold,surprise.OnWN
266,abstain from eating or from certain foods,abstain from eating.,4.0,STS2012-gold,surprise.OnWN
267,"feel hot or painful, as if burning",feel hot or painful.,4.0,STS2012-gold,surprise.OnWN
268,(cause to) return after being refused,come back after being refused.,4.75,STS2012-gold,surprise.OnWN
269,a loss of function,loss of ability to function normally.,4.25,STS2012-gold,surprise.OnWN
270,"administrator, one who controls resources",someone who controls resources and expenditures.,3.5,STS2012-gold,surprise.OnWN
271,"a stovetop, cooking appliance",a kitchen appliance used for cooking food.,3.75,STS2012-gold,surprise.OnWN
272,"rinse one's mouth with mouthwash, gargle",rinse one's mouth and throat with mouthwash.,4.5,STS2012-gold,surprise.OnWN
273,a quantity that is an approximate calculation,an approximate calculation of quantity or degree or worth.,4.0,STS2012-gold,surprise.OnWN
274,turn on an axis; spin,turn on or around an axis or a center.,4.0,STS2012-gold,surprise.OnWN
275,marriage offer,an offer of marriage.,5.0,STS2012-gold,surprise.OnWN
276,Try to gain favor by flattering or showing submission or fear.,show submission or fear.,3.5,STS2012-gold,surprise.OnWN
277,the public submission of a legal record,the entering of a legal document into the public record.,4.25,STS2012-gold,surprise.OnWN
278,"Shrivel, wither, or mature imperfectly, as of a flower.",shrivel or wither or mature imperfectly.,4.0,STS2012-gold,surprise.OnWN
279,"have faith in, bet on",have faith or confidence in.,4.25,STS2012-gold,surprise.OnWN
280,burst into flames (telic),start to burn or burst into flames.,4.25,STS2012-gold,surprise.OnWN
281,The cognitive processes and capacity to remember.,the cognitive processes whereby past experience is remembered.,4.5,STS2012-gold,surprise.OnWN
282,mechanism that controls the water level in a section of canal,enclosure consisting of a section of canal that can be closed to control the water level; used to raise or lower vessels that pass through it.,4.0,STS2012-gold,surprise.OnWN
283,an onerous worry or concern,an onerous or difficult concern.,5.0,STS2012-gold,surprise.OnWN
284,someone or something that is the agent of fulfilling desired expectations,someone (or something) on which expectations are centered.,5.0,STS2012-gold,surprise.OnWN
285,a sharp side of an object,a sharp side formed by the intersection of two surfaces of an object.,3.333,STS2012-gold,surprise.OnWN
286,the forceful hit of a ball,hitting a golf ball off of a tee with a driver.,2.75,STS2012-gold,surprise.OnWN
287,Fine powdery material; the remains of something destroyed or broken up.,the remains of something that has been destroyed or broken up.,3.5,STS2012-gold,surprise.OnWN
288,throw with force,utter with force; utter vehemently.,2.0,STS2012-gold,surprise.OnWN
289,Treat a substance with some agent; add an agent to.,treat with an agent; add (an agent) to.,4.0,STS2012-gold,surprise.OnWN
290,pass through the esophagus,pass through the esophagus as part of eating or drinking.,3.5,STS2012-gold,surprise.OnWN
291,move freely (usually within a bounded space),cause to move or operate freely within a bounded space.,4.75,STS2012-gold,surprise.OnWN
292,secrete or form water,"secrete or form water, as tears or saliva.",3.5,STS2012-gold,surprise.OnWN
293,the state of being in contact,the state of being connected.,4.0,STS2012-gold,surprise.OnWN
294,a variant of a musical theme which employs notes of reduced duration from the original theme,the statement of a theme in notes of lesser duration (usually half the length of the original).,3.5,STS2012-gold,surprise.OnWN
295,time to come,the time yet to come.,3.75,STS2012-gold,surprise.OnWN
296,the legal state of owing money,the state of owing something (especially money).,4.75,STS2012-gold,surprise.OnWN
297,a style and size of typeset,a specific size and style of type within a type family.,4.5,STS2012-gold,surprise.OnWN
298,"demand, ask for, or take as one's due",demand as being one's due or property; assert one's right or title to.,4.0,STS2012-gold,surprise.OnWN
299,Cause to be distrusted or rejected; damage the reputation of.,damage the reputation of.,3.5,STS2012-gold,surprise.OnWN
300,"Give equal rights to, as of the right to vote.",give equal rights to; of women and minorities.,3.0,STS2012-gold,surprise.OnWN
301,(cause to) lengthen or expand in time or some abstract realm,lengthen in time; cause to be or last longer.,3.0,STS2012-gold,surprise.OnWN
302,"a knapsack, bundle on the back",a bundle (especially one carried on the back).,4.75,STS2012-gold,surprise.OnWN
303,a person who delivers information or goods,a person who conveys (carries or transmits).,4.25,STS2012-gold,surprise.OnWN
304,having an intuitive understanding or appreciation of something,an intuitive understanding of something.,4.25,STS2012-gold,surprise.OnWN
305,adherence to moral principles,adhering to moral principles.,5.0,STS2012-gold,surprise.OnWN
306,have sex with,have sexual intercourse with.,5.0,STS2012-gold,surprise.OnWN
307,partake or provide a banquet,partake in a feast or banquet.,4.75,STS2012-gold,surprise.OnWN
308,idolize/show devotion to,show devotion to (a deity).,4.75,STS2012-gold,surprise.OnWN
309,make a ticking sound,make a clicking or ticking sound.,5.0,STS2012-gold,surprise.OnWN
310,run or flow slowly,"run or flow slowly, as in drops or in an unsteady stream.",3.25,STS2012-gold,surprise.OnWN
311,Write a computer programme.,write a computer program.,4.5,STS2012-gold,surprise.OnWN
312,a state of social order in conformance with existing law,a state of order in which events conform to the law.,5.0,STS2012-gold,surprise.OnWN
313,An electronic storage device.,an electronic memory device.,4.5,STS2012-gold,surprise.OnWN
314,a reference line used to align lettering,a light line that is used in lettering to help align the letters.,4.25,STS2012-gold,surprise.OnWN
315,"the quality of dedication, fixity of purpose",the trait of sincere and steadfast fixity of purpose.,3.75,STS2012-gold,surprise.OnWN
316,Look furtively at something.,look furtively.,4.0,STS2012-gold,surprise.OnWN
317,"cast off, get rid of something",get rid of.,3.5,STS2012-gold,surprise.OnWN
318,recover posession or get back again,get or find back; recover the use of.,4.25,STS2012-gold,surprise.OnWN
319,a coefficient assigned to elements in a frequency distribution in order to indicate the relative importance of each element,(statistics) a coefficient assigned to elements of a frequency distribution in order to represent their relative importance.,4.75,STS2012-gold,surprise.OnWN
320,(cause to) move around,cause to move round and round.,4.0,STS2012-gold,surprise.OnWN
321,become due,become due for repayment.,3.0,STS2012-gold,surprise.OnWN
322,Provide medical care for.,provide veterinary care for.,3.5,STS2012-gold,surprise.OnWN
323,"do over, make new",make new.,3.75,STS2012-gold,surprise.OnWN
324,"coat, cover, or treat the surface of",put a coat on; cover the surface of; furnish with a surface.,4.5,STS2012-gold,surprise.OnWN
325,BASEBALL: strike out a batter,"strike out (a batter), (of a pitcher).",4.0,STS2012-gold,surprise.OnWN
326,"Regain or make up for, as of a financial loss.",regain or make up for.,3.25,STS2012-gold,surprise.OnWN
327,"duplicate, match",duplicate or match.,4.75,STS2012-gold,surprise.OnWN
328,indistinct vocal articulations,indistinct articulation.,4.25,STS2012-gold,surprise.OnWN
329,the act of shoving something away,the act of applying force in order to move something away.,4.0,STS2012-gold,surprise.OnWN
330,move or drive forcefully as if by a punch.,drive forcibly as if by a punch.,5.0,STS2012-gold,surprise.OnWN
331,"an intense surprise, often unpleasant",an unpleasant or disappointing surprise.,4.75,STS2012-gold,surprise.OnWN
332,Make less emotionally hostile; win over mentally or emotionally.,make less hostile; win over.,4.25,STS2012-gold,surprise.OnWN
333,"informal usage for a domestic cat, often young",informal terms referring to a domestic cat.,4.25,STS2012-gold,surprise.OnWN
334,The act of sorting one thing from others.,sorting one thing from others.,4.75,STS2012-gold,surprise.OnWN
335,the act of physically affixing or connecting things,the act of fastening things together.,4.0,STS2012-gold,surprise.OnWN
336,the people who dwell in a camp,a group of people living together in a camp.,4.0,STS2012-gold,surprise.OnWN
337,An unforseen development.,an unforeseen development.,5.0,STS2012-gold,surprise.OnWN
338,bring into general popular/common use,cater to popular taste to make popular and present to the general public; bring into general or common use.,3.0,STS2012-gold,surprise.OnWN
339,make impure; make radioactive,make impure.,3.25,STS2012-gold,surprise.OnWN
340,"a long, thin implement, usually made of wood",an implement consisting of a length of wood.,4.75,STS2012-gold,surprise.OnWN
341,Formally reject or disavow a formerly held belief; retract a statement.,"formally reject or disavow a formerly held belief, usually under pressure.",4.0,STS2012-gold,surprise.OnWN
342,(Cause to) to turn to the left side.,"turn or go to the port or left side, of a ship.",2.25,STS2012-gold,surprise.OnWN
343,Entail as a necessary accompaniment or result,"impose, involve, or imply as a necessary accompaniment or result.",3.75,STS2012-gold,surprise.OnWN
344,Physically attach to something.,fix to; attach.,4.25,STS2012-gold,surprise.OnWN
345,assign to a particular task,assign to a specific task.,4.75,STS2012-gold,surprise.OnWN
346,culminating event,be the culminating event.,3.75,STS2012-gold,surprise.OnWN
347,act of constructing,the act of constructing something.,4.75,STS2012-gold,surprise.OnWN
348,"the primary information-processing component of a computer, of a microprocessor chip",(computer science) the part of a computer (a microprocessor chip) that does most of the data processing.,4.75,STS2012-gold,surprise.OnWN
349,"consider again, usually with a view to changing","consider again (a bill) that had been voted upon before, with a view to altering it.",4.0,STS2012-gold,surprise.OnWN
350,"cancel, reverse, annul","cancel, annul, or reverse an action or its effect.",3.5,STS2012-gold,surprise.OnWN
351,define; determine essential qualities of,determine the essential quality of.,4.5,STS2012-gold,surprise.OnWN
352,The pursuit and killing or capture of animals.,the pursuit and killing or capture of wild animals regarded as a sport.,3.25,STS2012-gold,surprise.OnWN
